age,healthy,infected,e25y3,e25y5,e25y10,e50y3,e50y5,e50y10,e75y3,e75y5,e75y10
0,100,100,100,100,100,100,100,100,100,100,100
1,100,100,100,100,100,100,100,100,100,100,100
2,100,99.70023641,99.70023641,99.70023641,99.70023641,99.70023641,99.70023641,99.70023641,99.70023641,99.70023641,99.70023641
3,100,99.58784033,99.65331195,99.58784033,99.58784033,99.71045012,99.58784033,99.58784033,99.76030689,99.58784033,99.58784033
4,100,99.21594984,99.4269264,99.21594984,99.21594984,99.58784033,99.21594984,99.21594984,99.71045012,99.21594984,99.21594984
5,100,98.57856653,99.08709132,98.77116138,98.57856653,99.4269264,98.93969257,98.57856653,99.65331195,99.08709132,98.57856653
6,100,97.49494035,98.57856653,98.10754144,97.49494035,99.21594984,98.57856653,97.49494035,99.58784033,98.93969257,97.49494035
7,100,95.67769722,97.82121184,97.12352297,95.67769722,98.93969257,98.10754144,95.67769722,99.51283474,98.77116138,95.67769722
8,100,92.69902936,96.70118893,95.67769722,92.69902936,98.57856653,97.49494035,92.69902936,99.4269264,98.57856653,92.69902936
9,100,87.99488644,95.06196851,93.58162468,87.99488644,98.10754144,96.70118893,87.99488644,99.32855614,98.35860065,87.99488644
10,100,80.9851738,92.69902936,90.60118046,82.97826745,97.49494035,95.67769722,84.80781006,99.21594984,98.10754144,86.47794972
11,100,71.39498489,89.36636018,86.47794972,76.50516007,96.70118893,94.36619416,80.9851738,99.08709132,97.82121184,84.80781006
12,100,59.70088897,84.80781006,80.9851738,68.62864591,95.67769722,92.69902936,76.50516007,98.93969257,97.49494035,82.97826745
13,100,47.28775151,78.82696222,74.02484341,59.70088897,94.36619416,90.60118046,71.39498489,98.77116138,97.12352297,80.9851738
14,100,35.90812996,71.39498489,65.74296865,50.36005229,92.69902936,87.99488644,65.74296865,98.57856653,96.70118893,78.82696222
15,100,26.79506637,62.75893634,56.5958064,41.37084858,90.60118046,84.80781006,59.70088897,98.35860065,96.22157291,76.50516007
16,100,20.25519719,53.47239675,47.28775151,33.38976426,87.99488644,80.9851738,53.47239675,98.10754144,95.67769722,74.02484341
17,100,15.92237824,44.28299382,38.57318537,26.79506637,84.80781006,76.50516007,47.28775151,97.82121184,95.06196851,71.39498489
18,100,13.20172573,35.90812996,31.02806327,21.66192933,80.9851738,71.39498489,41.37084858,97.49494035,94.36619416,68.62864591
19,100,11.55052276,28.82904143,24.92529164,17.84913247,76.50516007,65.74296865,35.90812996,97.12352297,93.58162468,65.74296865
20,100,10.56899907,23.21615944,20.25519719,15.11439487,71.39498489,59.70088897,31.02806327,96.70118893,92.69902936,62.75893634
21,100,9.992746907,18.9873776,16.8307367,13.20172573,65.74296865,53.47239675,26.79506637,96.22157291,91.70881283,59.70088897
22,100,9.656891268,15.92237824,14.3974529,11.88747489,59.70088897,47.28775151,23.21615944,95.67769722,90.60118046,56.5958064
23,100,9.461978025,13.7626751,12.70686051,10.99535965,53.47239675,41.37084858,20.25519719,95.06196851,89.36636018,53.47239675
24,100,9.349140214,12.27094887,11.55052276,10.39479207,47.28775151,35.90812996,17.84913247,94.36619416,87.99488644,50.36005229
25,100,9.283910562,11.25475101,10.76805276,9.992746907,41.37084858,31.02806327,15.92237824,93.58162468,86.47794972,47.28775151
